Region,Distributor,Regional,Sales_rm,SOH_rm,Sales_ctn,SOH_ctn,Sales_volume,SOH_volume
Brunei,Malar Setia,East Malaysia,8841495.12945222659197440,0,68249.6830952380944174,0,314754.15052916666455126494,330141.42733472225493124000
Central,Lien Hing,West Malaysia,33140371.650994477325342,0,348726.0535714285662247,0,1586163.80814972219489049671,287900.90481249998627839500
East Coast,CLF - KTN,West Malaysia,4699918.587662999620204,5695.59999999999952,49862.8533730158719952,83,227330.71135999999611656340,73582.80279166667525993680
East Coast,CLF - MTK,West Malaysia,2481770.207351999851116,31772.45439999999568,32565.0690476190470079,333.4761904761904952,140862.36395166666554576540,33491.76842499999697440000
East Coast,Vision - KT,West Malaysia,2197751.583159999898520,0,26100.8153769841261882,0,120423.06638999999760126890,42163.34405666666306324840
East Coast,Vision - TM,West Malaysia,5429698.915539999792064,20769.90071999999928,65083.7706349206351374,281.1940476190475765,299539.77742500000162900160,71871.86953666666209730000
Labuan,Sky Trading,East Malaysia,4157298.70666666617816,0,22124.6152777777784550,0,149675.00965944445068680800,171068.89434222223282650000
Langkawi,Teow Soon Huat,East Malaysia,533355.383799999975564,0,5659.6148809523809397,0,25619.40050000000028409680,12097.46617333333545840000
Northern,HSC - Alor Setar,West Malaysia,3766163.124867999724920,4854.92280,40879.95620039682543773,60.5708333333333355,201705.49295277777732597686,124007.97835305554484494320
Northern,HSC - Ipoh,West Malaysia,6244940.544336972960304,12982.97806399999936,74041.88931878306812444,162.2783730158730210,325442.69137527777429094346,104126.24903305556241560400
Northern,HSC - Prai,West Malaysia,7567004.086357999386352,93283.30591999999560,85715.95363756613808806,777.1470238095236809,402789.76265111111592442282,113616.45937499999452058200
Sabah,Moh Heng Sabah,East Malaysia,14162831.834444445031685520961764435280,5580.38,142818.72420634920553976,59.3291666666666788,677266.12280166667022700516,491476.78098666663474993540
Sarawak,Moh Heng Sarawak,East Malaysia,15179498.4121413337129484,80448.37699999999764,155719.93958333332999991,645.9051587301587181,735436.62168333331977021144,521240.30110750006532656500
Southern,MRS,West Malaysia,8085345.246599999733708,48485.27999999999746,89035.80753968253049149,576.7823412698413810,408210.20311083329612875318,128619.88114805556176640000
Southern,SLNG,West Malaysia,10411278.245644999635576,0,115866.0075231481450097,0,509076.70216527776454673680,199234.21508749998984351780
